Abraham-a-Sancta-Clara-Gasse
Akademiestraße
Albertinaplatz
Alte Walfischgasse
Am Gestade
Am Hof
An der Hülben
Musikvereinsplatz
Annagasse
Julius-Raab-Platz
Auerspergstraße
Augustinerbastei
Augustinerstraße
Auwinkel
Babenbergerstraße
Bäckerstraße
Ballgasse
Ballhausplatz
Bankgasse
Barbaragasse
Bartensteingasse
Bauernmarkt
Beethovenplatz
Bellariastraße
Biberstraße
Blumenstockgasse
Blutgasse
Börsegasse
Börseplatz
Bösendorferstraße
Bognergasse
Bräunerstraße
Brandstätte
Burgring
Canovagasse
Christinengasse
Churhausgasse
Cobdengasse
Coburgbastei
Concordiaplatz
Deutschmeisterplatz
Doblhoffgasse
Dr.-Ignaz-Seipel-Platz
Dr.-Karl-Lueger-Platz
Universitätsring
Dr.-Karl-Renner-Ring
Domgasse
Dominikanerbastei
Donnergasse
Dorotheergasse
Drachengasse
Drahtgasse
Dumbastraße
Ebendorferstraße
Elisabethstraße
Ertlgasse
Eschenbachgasse
Essiggasse
Eßlinggasse
Färbergasse
Fahnengasse
Falkestraße
Felderstraße
Fichtegasse
Fischerstiege
Fischhof
Fleischmarkt
Franziskanerplatz
Franz-Josefs-Kai
Freisingergasse
Freyung
Friedrich-Schmidt-Platz
Friedrichstraße
Führichgasse
Fütterergasse
Gartenbaupromenade
Gauermanngasse
Georg-Coch-Platz
Getreidemarkt
Gluckgasse
Gölsdorfgasse
Goethegasse
Göttweihergasse
Goldschmiedgasse
Gonzagagasse
Graben
Grashofgasse
Griechengasse
Grillparzerstraße
Grünangergasse
Haarhof
Habsburgergasse
Hafnersteig
Hansenstraße
Hanuschgasse
Hegelgasse
Heidenschuß
Heinrichsgasse
Heldenplatz
Helferstorferstraße
Herrengasse
Heßgasse
Himmelpfortgasse
Hohenstaufengasse
Hoher Markt
Irisgasse
Jakobergasse
Jasomirgottstraße
Jesuitengasse
Johannesgasse
Jordangasse
Josefsplatz
Judengasse
Judenplatz
Jungferngasse
Kärntner Durchgang
Kärntner Ring
Kärntner Straße
Kantgasse
Karlsplatz
Katzensteig
Kleeblattgasse
Köllnerhofgasse
Körblergasse
Kohlmarkt
Oskar-Kokoschka-Platz
Kramergasse
Krugerstraße
Kühfußgasse
Kumpfgasse
Kupferschmiedgasse
Kurrentgasse
Landesgerichtsstraße
Landhausgasse
Landskrongasse
Laurenzerberg
Lazenhof
Ledererhof
Lichtenfelsgasse
Lichtensteg
Liebenberggasse
Liebiggasse
Liliengasse
Lobkowitzplatz
Löwelstraße
Lothringerstraße
Lugeck
Mahlerstraße
Makartgasse
Marc-Aurel-Straße
Marco-d'Aviano-Gasse
Maria-Theresien-Straße
Marienstiege
Maysedergasse
Museumsplatz
Metastasiogasse
Michaelerplatz
Milchgasse
Minoritenplatz
Mölker Bastei
Mölker Steig
Morzinplatz
Museumstraße
Naglergasse
Neubadgasse
Neuer Markt
Neutorgasse
Nibelungengasse
Nikolaigasse
Operngasse
Opernring
Oppolzergasse
Parisergasse
Parkring
Passauer Platz
Pestalozzigasse
Petersplatz
Petrarcagasse
Philharmonikerstraße
Plankengasse
Postgasse (Innere Stadt)
Predigergasse
Rabensteig
Rathausplatz
Rathausstraße
Rauhensteingasse
Leopold-Figl-Gasse
Reichsratsstraße
Reischachstraße
Reitschulgasse
Renngasse
Riemergasse
Rockhgasse
Rosenbursenstraße
Rosengasse
Rotenturmstraße
Rotgasse
Rudolfsplatz
Ruprechtsplatz
Ruprechtsstiege
Salvatorgasse
Salzgasse
Salzgries
Salztorgasse
Schallautzerstraße
Schauflergasse
Schellinggasse
Schenkenstraße
Schillerplatz
Schmerlingplatz
Schönlaterngasse
Schottenbastei
Schottengasse
Schottenring
Schreyvogelgasse
Schubertring
Schulerstraße
Schulhof
Schultergasse
Schwarzenbergplatz
Schwarzenbergstraße
Schwedenplatz
Schwertgasse
Seilergasse
Seilerstätte
Seitenstettengasse
Seitzergasse
Singerstraße
Sonnenfelsgasse
Spiegelgasse
Stadiongasse
Stallburggasse
Steindlgasse
Stephansplatz
Sterngasse (Innere Stadt)
Steyrerhof
Stock-im-Eisen-Platz
Stoß im Himmel
Strauchgasse
Strobelgasse
Stubenbastei
Stubenring
Tegetthoffstraße
Teinfaltstraße
Tiefer Graben
Trattnerhof
Tuchlauben
Tuchlaubenhof
Universitätsstraße
Uraniastraße
Volksgartenstraße
Vorlaufstraße
Wächtergasse
Walfischgasse
Wallnerstraße
Weihburggasse
Weiskirchnerstraße
Werdertorgasse
Wiesingerstraße
Wildpretmarkt
Windhaaggasse
Wipplingerstraße
Wolfengasse
Wollzeile
Zedlitzgasse
Zelinkagasse
Robert-Stolz-Platz
Am Stadtpark
Desider-Friedmann-Platz
Bruno-Kreisky-Gasse
Herbert-von-Karajan-Platz
Josef-Meinrad-Platz
Salztorbrücke
Kleine Marxerbrücke
Hohe Brücke
Stadtparksteg
Kleine Ungarbrücke
Zollamtssteg
Radetzkybrücke
Stubenbrücke
Schottenpassage
Opernpassage
Fußgängerpassage Bellariastraße
Babenbergerpassage
Albertinapassage
Kärntnertorpassage
Passage Mariahilfer Straße
Passage Stephansplatz
Zedlitzsteg
Passage Karlsplatz
Freda-Meissner-Blau-Promenade
Ginzkeyhof
Irene-Harand-Hof
Christkindlmarkt
Schanzelufer
Hofburg
Heiligenkreuzer Hof
Ringturm
Rathaus
Burgtheater
Sonderadresse 1.Bezirk
Burggarten
Rathauspark (Innere Stadt)
Stadtpark
Volksgarten
U-Bahn Station Schottenring
U-Bahn Station Schwedenplatz
U-Bahn Station Stephansplatz
U-Bahn Station Schottentor
U-Bahn Station Museumsquartier
U-Bahn Station Rathaus
U-Bahn Station Volkstheater
U-Bahn Station Stubentor
U-Bahn Station Herrengasse
Adambergergasse
Afrikanergasse
Alliiertenstraße
Aloisgasse
Am Tabor
Arnezhoferstraße
Aspernallee
Aspernbrückengasse
Ausstellungsstraße
Belvedereallee
Blumauergasse
Böcklinstraße
Brandgasse
Brigittenauer Lände
Castellezgasse
Csardastraße
Czerningasse
Czerninplatz
Darwingasse
Dr.-Natterer-Gasse
Dresdner Straße
Eberlgasse
Elderschplatz
Engerthstraße
Ennsgasse
Erlafstraße
Ferdinandstraße
Feuerbachstraße
Fischergasse (Leopoldstadt)
Floßgasse
Förstergasse
Franzensbrückenstraße
Franz-Hochedlinger-Gasse
Lembergstraße
Freudenauer Hafenstraße
Friedensgasse
Fruchtgasse
Fugbachgasse
Gabelsbergergasse
Gärtnerstraße
Gaußplatz
Glockengasse
Gredlerstraße
Große Mohrengasse
Große Pfarrgasse
Große Schiffgasse
Große Sperlgasse
Große Stadtgutgasse
Haasgasse
Hafenzufahrtsstraße
Hafnergasse
Am Augartenspitz
Haidgasse
Halmgasse
Hammer-Purgstall-Gasse
Handelskai
Harkortstraße
Hauptallee
Haussteinstraße
Hedwiggasse
Heinestraße
Helenengasse
Hellingstraße
Herminengasse
Hillerstraße
Hochstettergasse
Hofenedergasse
Hollandstraße
Holubstraße
Holzhausergasse
Ilgplatz
Im Werd
Innstraße
Josef-Gall-Gasse
Josefinengasse
Jungstraße
Kafkastraße
Karmelitergasse
Karmeliterplatz
Klanggasse
Kleine Mohrengasse
Kleine Pfarrgasse
Kleine Sperlgasse
Kleine Stadtgutgasse
Körnergasse
Komödiengasse
Konradgasse
Krafftgasse
Kratky-Baschik-Weg
Krummbaumgasse
Kurzbauergasse
Messestraße
Lampigasse
Lassallestraße
Lassingleithnerplatz
Laufbergergasse
Leopoldsgasse
Lessinggasse
Leystraße
Lichtenauergasse
Lilienbrunngasse
Lößlweg
Lukschgasse
Lusthausstraße
Machstraße
Malzgasse
Marathonweg
Marinelligasse
Max-Winter-Platz
Mayergasse
Meiereistraße
Mexikoplatz
Miesbachgasse
Molkereistraße
Mühlfeldgasse
Mumbgasse
Negerlegasse
Nepomukgasse
Nestroygasse (Leopoldstadt)
Nestroyplatz
Nickelgasse
Nordbahnstraße
Nordpolstraße
Nordportalstraße
Nordwestbahnstraße
Novaragasse
Obere Augartenstraße
Obere Donaustraße
Obermüllnerstraße
Odeongasse
Offenbachgasse
Ofnergasse
Paffrathgasse
Pazmanitengasse
Perinetgasse
Perspektivstraße
Pfeffergasse
Pillersdorfgasse
Praterstern
